model,board,final_group_id,candidate_nets,spearman,top5_cost_capture,top5_overlap,ndcg5
CatBoost residual + relational,elec-power-bms_OSBMS Balancer Rev1,FG0428,63,0.9775852375197334,0.963512880547142,0.6,0.9758591637916333
CatBoost residual + relational,elec-power-bms_rLoopPowerBms,FG0428,67,0.9610467965591623,0.947061906392062,0.8,0.9674258827787527
CatBoost residual + relational,hardware-designs_c-trigger,FG0482,7,1.0,1.0,1.0,1.0
CatBoost residual + relational,hardware-designs_cc430-debug-board,FG0482,33,0.9498663101604279,0.9493477249087792,0.8,0.970843958289862
CatBoost residual + relational,hardware-designs_energy-harvester,FG0482,14,0.9032967032967033,0.9916655079630643,0.8,0.995272473707374
CatBoost residual + relational,hardware-designs_nixie-combo,FG0482,67,0.915624906511634,1.0,1.0,1.0
CatBoost residual + relational,hardware-designs_nixie-power,FG0482,10,0.9878787878787878,1.0,1.0,0.9999999999999999
CatBoost residual + relational,hardware-designs_soil-moisture-sensor,FG0482,11,0.990909090909091,0.9999999999999999,1.0,0.9998191177646979
CatBoost residual + relational,hardware-designs_solar-harvester,FG0482,9,0.9833333333333333,1.0,1.0,1.0000000000000002
CatBoost residual + relational,hardware-designs_spirit1-board,FG0482,21,0.9918805329885897,1.0,1.0,1.0
CatBoost residual + relational,hardware-designs_spsgrf-board,FG0482,8,0.09523809523809526,0.9169769203410926,0.8,0.9099656303581058
CatBoost residual + relational,hw_trials_demo,FG0488,36,0.9876447876447877,1.0,1.0,0.9999999999999999
CatBoost residual + relational,jadonk_PocketBone,FG0246,74,0.96768604220659,1.0,1.0,0.9998683301019752
CatBoost residual + relational,kitspace_12_24_boost_converter,FG0516,10,0.9757575757575757,0.997838118523676,0.8,0.9978218693983889
CatBoost residual + relational,kitspace_4_switch_array,FG0516,14,0.9384615384615385,0.9860250190130597,0.6,0.991863746274561
CatBoost residual + relational,kitspace_8_switch_array,FG0516,31,0.9672346051776045,0.9705424355242179,0.8,0.9830306368609655
